"ISBN;""Book-Title"";""Book-Author"";""Year-Of-Publication"";""Publisher"";""Image-URL-S"";""Image-URL-M"";""Image-URL-L"""
"0399148728;""Fire Ice: A Novel from the NUMA Files"";""Clive Cussler"";""2002"";""Putnam Publishing Group"";""http://images.amazon.com/images/P/0399148728.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0399148728.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0399148728.01.LZZZZZZZ.jpg"""
"0071349294;""Great Eastern RV Trips: A Year-Round Guide to the Best Rving in the East"";""Janet  Groene"";""2000"";""International Marine/Ragged Mountain Press"";""http://images.amazon.com/images/P/0071349294.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0071349294.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0071349294.01.LZZZZZZZ.jpg"""
"0312869061;""Swell Foop (Xanth Novels (Hardcover))"";""Piers Anthony"";""2001"";""Tor Books"";""http://images.amazon.com/images/P/0312869061.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0312869061.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0312869061.01.LZZZZZZZ.jpg"""
"0812968212;""Matchstick Men : A Novel About Grifters with Issues"";""ERIC GARCIA"";""2003"";""Random House Trade Paperbacks"";""http://images.amazon.com/images/P/0812968212.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0812968212.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0812968212.01.LZZZZZZZ.jpg"""
"0312264372;""Robert Ludlum's the Hades Factor (Ludlum", Robert," Covert-One Novels.)"";""Robert Ludlum"";""2000"";""St. Martin's Press"";""http://images.amazon.com/images/P/0312264372.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0312264372.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0312264372.01.LZZZZZZZ.jpg"""
"0684841185;""Death du Jour"";""Kathy Reichs"";""1999"";""Scribner"";""http://images.amazon.com/images/P/0684841185.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0684841185.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0684841185.01.LZZZZZZZ.jpg"""
"0749005491;""Chill Factor (Detective Inspector Charlie Priest Mystery)"";""Stuart Pawson"";""2003"";""Allison &amp; Busby"";""http://images.amazon.com/images/P/0749005491.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0749005491.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0749005491.01.LZZZZZZZ.jpg"""
"0679463070;""Casual Rex: A Novel"";""Eric Garcia"";""2001"";""Villard Books"";""http://images.amazon.com/images/P/0679463070.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0679463070.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0679463070.01.LZZZZZZZ.jpg"""
"0399146865;""Getting What You Want: The 7 Principles of Rational Living"";""Robert J. Ringer"";""2000"";""Putnam Publishing Group"";""http://images.amazon.com/images/P/0399146865.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0399146865.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0399146865.01.LZZZZZZZ.jpg"""
"0312873085;""Elixir"";""Gary Braver"";""2000"";""St Martins Pr"";""http://images.amazon.com/images/P/0312873085.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0312873085.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0312873085.01.LZZZZZZZ.jpg"""
"0875964249;""A Lifetime of Sex: The Ultimate Manual on Sex", Women," and Relationships for Every Stage of a Man's Life"";""Stephen C. George"";""1998"";""Rodale Press"";""http://images.amazon.com/images/P/0875964249.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0875964249.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0875964249.01.LZZZZZZZ.jpg"""
"0028625757;""The Complete Illustrated Guide to Everything Sold in Hardware Stores"";""Steve Ettlinger"";""1998"";""John Wiley &amp; Sons"";""http://images.amazon.com/images/P/0028625757.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0028625757.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0028625757.01.LZZZZZZZ.jpg"""
"0399146687;""Perish Twice"";""Robert B. Parker"";""2000"";""Putnam Publishing Group"";""http://images.amazon.com/images/P/0399146687.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0399146687.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0399146687.01.LZZZZZZZ.jpg"""
"055380099X;""Last Puzzle &amp; Testament"";""Parnell Hall"";""2000"";""Bantam Books"";""http://images.amazon.com/images/P/055380099X.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/055380099X.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/055380099X.01.LZZZZZZZ.jpg"""
"0316693286;""Pop Goes the Weasel"";""James Patterson"";""1999"";""Replica Books"";""http://images.amazon.com/images/P/0316693286.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0316693286.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0316693286.01.LZZZZZZZ.jpg"""
"0670861944;""Math Curse"";""Jon Scieszka"";""1995"";""Viking Books"";""http://images.amazon.com/images/P/0670861944.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0670861944.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0670861944.01.LZZZZZZZ.jpg"""
"0399146237;""Running Blind"";""Lee Child"";""2000"";""Putnam Publishing Group"";""http://images.amazon.com/images/P/0399146237.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0399146237.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0399146237.01.LZZZZZZZ.jpg"""
"0684842106;""Terminal Event : A Novel"";""James S Thayer"";""1999"";""Simon &amp; Schuster"";""http://images.amazon.com/images/P/0684842106.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0684842106.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0684842106.01.LZZZZZZZ.jpg"""
"0439164842;""Eleanor: Crown Jewel of Aquitaine", France," 1136 (The Royal Diaries)"";""Kristiana Gregory"";""2002"";""Scholastic"";""http://images.amazon.com/images/P/0439164842.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0439164842.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0439164842.01.LZZZZZZZ.jpg"""
"0060174056;""The Tennis Partner"";""A. Verghese"";""1998"";""HarperCollins Publishers"";""http://images.amazon.com/images/P/0060174056.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0060174056.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0060174056.01.LZZZZZZZ.jpg"""
"0373484887;""Hidden Star (The Star Series)"";""Nora Roberts"";""2001"";""Silhouette"";""http://images.amazon.com/images/P/0373484887.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0373484887.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0373484887.01.LZZZZZZZ.jpg"""
"8466304592;""El Cuento De LA Isla Desconocida"";""Jose Saramago"";""2003"";""Alfaguara/Santillana USA"";""http://images.amazon.com/images/P/8466304592.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/8466304592.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/8466304592.01.LZZZZZZZ.jpg"""
"0099521016;""Midnight In the Garden of Good and Evil"";""John Berendt"";""0"";""Vintage Books"";""http://images.amazon.com/images/P/0099521016.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0099521016.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0099521016.01.LZZZZZZZ.jpg"""
"0750005815;""The Whitby Witches (Whitby Series)"";""Robin Jarvis"";""1991"";""Hodder Wayland"";""http://images.amazon.com/images/P/0750005815.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0750005815.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0750005815.01.LZZZZZZZ.jpg"""
"075001203X;""A Warlock in Whitby (Whitby Series)"";""Robin Jarvis"";""1992"";""Hodder Wayland"";""http://images.amazon.com/images/P/075001203X.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/075001203X.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/075001203X.01.LZZZZZZZ.jpg"""
"0330261878;""Animals of Farthing Wood"";""DANN Colin"";""0"";""Pan Macmillan"";""http://images.amazon.com/images/P/0330261878.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0330261878.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0330261878.01.LZZZZZZZ.jpg"""
"0140302395;""Gobbolino the Witch's Cat (Young Puffin Books)"";""Williams"";""1999"";""Puffin Books"";""http://images.amazon.com/images/P/0140302395.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0140302395.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0140302395.01.LZZZZZZZ.jpg"""
"0060086246;""Last Chance Saloon"";""Marian Keyes"";""2003"";""Perennial"";""http://images.amazon.com/images/P/0060086246.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0060086246.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0060086246.01.LZZZZZZZ.jpg"""
"0451180429;""The Quiet Game"";""Greg Iles"";""2000"";""Signet Book"";""http://images.amazon.com/images/P/0451180429.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0451180429.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0451180429.01.LZZZZZZZ.jpg"""
"0373250126;""Milkrun"";""Sarah Mlynowski"";""2001"";""Harlequin"";""http://images.amazon.com/images/P/0373250126.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0373250126.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0373250126.01.LZZZZZZZ.jpg"""
"0060723890;""The Other Man: A Love Story"";""Michael Bergin"";""2004"";""Regan Books"";""http://images.amazon.com/images/P/0060723890.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0060723890.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0060723890.01.LZZZZZZZ.jpg"""
"0373250193;""Loose Screws (Red Dress Ink (Paperback))"";""Karen Templeton"";""2002"";""Red Dress Ink"";""http://images.amazon.com/images/P/0373250193.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0373250193.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0373250193.01.LZZZZZZZ.jpg"""
"0758204930;""Life a la Mode"";""Linda Lenhoff"";""2003"";""STRAPLESS"";""http://images.amazon.com/images/P/0758204930.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0758204930.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0758204930.01.LZZZZZZZ.jpg"""
"0451410947;""Must Love Dogs"";""Claire Cook"";""2003"";""Onyx Books"";""http://images.amazon.com/images/P/0451410947.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0451410947.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0451410947.01.LZZZZZZZ.jpg"""
"038550926X;""The Devil Wears Prada : A Novel"";""LAUREN WEISBERGER"";""2003"";""Doubleday"";""http://images.amazon.com/images/P/038550926X.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/038550926X.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/038550926X.01.LZZZZZZZ.jpg"""
"0061010707;""Men"," Women and Relationships"";""John Gray"";""1996"";""HarperCollins Publishers"";""http://images.amazon.com/images/P/0061010707.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0061010707.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0061010707.01.LZZZZZZZ.jpg"""
"3462031112;""Affenliebe. Die Geschichte eines langen Entzugs."";""Silvana Klein"";""2002"";""Kiepenheuer &amp; Witsch"";""http://images.amazon.com/images/P/3462031112.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/3462031112.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/3462031112.01.LZZZZZZZ.jpg"""
"3499187809;""Der Mann"," der seine Frau mit einem Hut verwechselte. ( sachbuch)."";""Oliver Sacks"";""1990"";""Rowohlt Tb."";""http://images.amazon.com/images/P/3499187809.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/3499187809.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/3499187809.01.LZZZZZZZ.jpg"""
"3446203966;""Das Leiden anderer betrachten."";""Susan Sontag"";""2003"";""Hanser"";""http://images.amazon.com/images/P/3446203966.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/3446203966.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/3446203966.01.LZZZZZZZ.jpg"""
"3442727367;""Katalog von Allem. 1111 Nummern aus 31 Jahren."";""Peter K. Wehrli"";""2000"";""Btb Bei Goldmann"";""http://images.amazon.com/images/P/3442727367.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/3442727367.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/3442727367.01.LZZZZZZZ.jpg"""
"3216303217;""Cramer: Erzählung"";""Fritz Krenn"";""1997"";""Deuticke"";""http://images.amazon.com/images/P/3216303217.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/3216303217.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/3216303217.01.LZZZZZZZ.jpg"""
"3442444020;""Denn sie betr�?¼gt man nicht."";""Elizabeth George"";""1999"";""Goldmann"";""http://images.amazon.com/images/P/3442444020.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/3442444020.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/3442444020.01.LZZZZZZZ.jpg"""
"3257229364;""Endstation Venedig. Commissario Brunettis zweiter Fall."";""Donna Leon"";""1996"";""Diogenes Verlag"";""http://images.amazon.com/images/P/3257229364.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/3257229364.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/3257229364.01.LZZZZZZZ.jpg"""
"349961118X;""Minusgrade - Auf der Suche nach dem absoluten Nullpunkt. Eine Chronik der K�?¤lte."";""Tom Shachtman"";""2001"";""Rowohlt Tb."";""http://images.amazon.com/images/P/349961118X.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/349961118X.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/349961118X.01.LZZZZZZZ.jpg"""
"3795116074;""W�?¼stenblume."";""Waris Dirie"";""1998"";""Schneekluth"";""http://images.amazon.com/images/P/3795116074.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/3795116074.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/3795116074.01.LZZZZZZZ.jpg"""
"3499232103;""Lobrede auf das fehlende Teil."";""Antoine Bello"";""2002"";""Rowohlt Tb."";""http://images.amazon.com/images/P/3499232103.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/3499232103.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/3499232103.01.LZZZZZZZ.jpg"""
"0552998001;""Blackberry Wine"";""Joanne Harris"";""2001"";""Black Swan"";""http://images.amazon.com/images/P/0552998001.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0552998001.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0552998001.01.LZZZZZZZ.jpg"""
"3499114178;""Gammler"," Zen und Hohe Berge."";""Jack Kerouac"";""1971"";""Rowohlt Tb."";""http://images.amazon.com/images/P/3499114178.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/3499114178.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/3499114178.01.LZZZZZZZ.jpg"""
"3442439736;""Die Schandmaske."";""Minette Walters"";""1998"";""Goldmann"";""http://images.amazon.com/images/P/3442439736.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/3442439736.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/3442439736.01.LZZZZZZZ.jpg"""
"3442350484;""Die eiserne Kaiserin. Ein Richter- Di- Roman."";""Eleanor Cooney"";""1998"";""Goldmann"";""http://images.amazon.com/images/P/3442350484.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/3442350484.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/3442350484.01.LZZZZZZZ.jpg"""
"0671004530;""On the Street Where You Live"";""Mary Higgins Clark"";""2002"";""Pocket"";""http://images.amazon.com/images/P/0671004530.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0671004530.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0671004530.01.LZZZZZZZ.jpg"""
"3421056056;""Rosa: Roman"";""Heike Geissler"";""2002"";""Deutsche Verlags-Anstalt"";""http://images.amazon.com/images/P/3421056056.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/3421056056.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/3421056056.01.LZZZZZZZ.jpg"""
