"ISBN;""Book-Title"";""Book-Author"";""Year-Of-Publication"";""Publisher"";""Image-URL-S"";""Image-URL-M"";""Image-URL-L"""
"0028620666;""Betty Crocker's Best of Baking : More Than 350 of America's Favorite Recipes"";""Betty Crocker"";""1997"";""Betty Crocker"";""http://images.amazon.com/images/P/0028620666.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0028620666.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0028620666.01.LZZZZZZZ.jpg"""
"1892051176;""Guinness World Records 2003 (Guinness World Records)"";""Claire Folkard"";""2002"";""Guinness World Records Ltd."";""http://images.amazon.com/images/P/1892051176.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/1892051176.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/1892051176.01.LZZZZZZZ.jpg"""
"0877201358;""La Gran Aventura de Alejandro (R 576 P)"";""Abby Kanter"";""1994"";""Amsco School Pubns Inc"";""http://images.amazon.com/images/P/0877201358.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0877201358.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0877201358.01.LZZZZZZZ.jpg"""
"0844273252;""Guide to Spanish Idioms"";""Raymond H. Pierson"";""1985"";""McGraw-Hill"";""http://images.amazon.com/images/P/0844273252.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0844273252.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0844273252.01.LZZZZZZZ.jpg"""
"0201741644;""Macromedia Director 8.5 Shockwave Studio for 3D: Training from the Source"";""Phil Gross"";""2001"";""Macromedia Press"";""http://images.amazon.com/images/P/0201741644.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0201741644.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0201741644.01.LZZZZZZZ.jpg"""
"1559362324;""Anna in the Tropics"";""Nilo Cruz"";""2003"";""Theatre Communications Group"";""http://images.amazon.com/images/P/1559362324.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/1559362324.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/1559362324.01.LZZZZZZZ.jpg"""
"0345430786;""Manifold: Space (Manifold (Paperback))"";""Stephen Baxter"";""2002"";""Del Rey Books"";""http://images.amazon.com/images/P/0345430786.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0345430786.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0345430786.01.LZZZZZZZ.jpg"""
"0316710571;""Sam's Letters to Jennifer"";""James Patterson"";""2004"";""Little"," Brown"";""http://images.amazon.com/images/P/0316710571.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0316710571.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0316710571.01.LZZZZZZZ.jpg"""
"0060555513;""The Last Goodbye"";""Reed Arvin"";""2004"";""HarperCollins"";""http://images.amazon.com/images/P/0060555513.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0060555513.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0060555513.01.LZZZZZZZ.jpg"""
"0892967544;""First Degree"";""David Rosenfelt"";""2003"";""Mysterious Press"";""http://images.amazon.com/images/P/0892967544.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0892967544.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0892967544.01.LZZZZZZZ.jpg"""
