"ISBN;""Book-Title"";""Book-Author"";""Year-Of-Publication"";""Publisher"";""Image-URL-S"";""Image-URL-M"";""Image-URL-L"""
"0515124796;""Cold Blood"";""Lynda LA Plante"";""1999"";""Jove Books"";""http://images.amazon.com/images/P/0515124796.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0515124796.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0515124796.01.LZZZZZZZ.jpg"""
"0515126489;""Critical Mass"";""Steven Paul Martini"";""1999"";""Jove Books"";""http://images.amazon.com/images/P/0515126489.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0515126489.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0515126489.01.LZZZZZZZ.jpg"""
"0679753826;""Mohawk (Vintage Contemporaries)"";""Richard Russo"";""1994"";""Vintage Books USA"";""http://images.amazon.com/images/P/0679753826.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0679753826.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0679753826.01.LZZZZZZZ.jpg"""
"0380974282;""Purification Ceremony"";""Mark T. Sullivan"";""1997"";""William Morrow &amp; Company"";""http://images.amazon.com/images/P/0380974282.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0380974282.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0380974282.01.LZZZZZZZ.jpg"""
"0684196778;""HANGMAN'S ROOT"";""Susan Wittig Albert"";""1994"";""Scribner"";""http://images.amazon.com/images/P/0684196778.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0684196778.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0684196778.01.LZZZZZZZ.jpg"""
"0399142851;""Unnatural Exposure"";""Patricia Daniels Cornwell"";""1997"";""Putnam Pub Group"";""http://images.amazon.com/images/P/0399142851.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0399142851.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0399142851.01.LZZZZZZZ.jpg"""
"0399146253;""The Last Precinct"";""Patricia Daniels Cornwell"";""2000"";""Putnam Publishing Group"";""http://images.amazon.com/images/P/0399146253.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0399146253.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0399146253.01.LZZZZZZZ.jpg"""
"0316693294;""Cat and Mouse"";""James Patterson"";""1997"";""Replica Books"";""http://images.amazon.com/images/P/0316693294.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0316693294.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0316693294.01.LZZZZZZZ.jpg"""
"0892964111;""Poor Butterfly"";""Stuart M. Kaminsky"";""1990"";""Warner Books Inc"";""http://images.amazon.com/images/P/0892964111.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0892964111.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0892964111.01.LZZZZZZZ.jpg"""
"0671042742;""The Honourable Schoolboy"";""John le Carre"";""2000"";""Pocket"";""http://images.amazon.com/images/P/0671042742.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0671042742.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0671042742.01.LZZZZZZZ.jpg"""
"0385480385;""Wilderness of Mirrors"";""Linda Davies"";""1996"";""Doubleday Books"";""http://images.amazon.com/images/P/0385480385.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0385480385.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0385480385.01.LZZZZZZZ.jpg"""
"0385488424;""Sunset Limited"";""James Lee Burke"";""1998"";""Bantam Dell Pub Group"";""http://images.amazon.com/images/P/0385488424.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0385488424.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0385488424.01.LZZZZZZZ.jpg"""
"0553096834;""Couplehood"";""Paul Reiser"";""1994"";""Bantam Dell Pub Group"";""http://images.amazon.com/images/P/0553096834.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0553096834.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0553096834.01.LZZZZZZZ.jpg"""
"0425130746;""Sisters in Crime 4"";""Marilyn Wallace"";""1991"";""Berkley Publishing Group"";""http://images.amazon.com/images/P/0425130746.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0425130746.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0425130746.01.LZZZZZZZ.jpg"""
"0553102133;""The Last Family"";""John R. Miller"";""1996"";""Bantam"";""http://images.amazon.com/images/P/0553102133.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0553102133.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0553102133.01.LZZZZZZZ.jpg"""
"0345391330;""Perfect Justice"";""William Bernhardt"";""1995"";""Ballantine Books"";""http://images.amazon.com/images/P/0345391330.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0345391330.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0345391330.01.LZZZZZZZ.jpg"""
"0345334019;""Escape the Night"";""Richard North Patterson"";""1995"";""Ballantine Books"";""http://images.amazon.com/images/P/0345334019.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0345334019.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0345334019.01.LZZZZZZZ.jpg"""
"055356966X;""By Evil Means (Phoebe Siegel Mystery)"";""SANDRA WEST PROWELL"";""1995"";""Crimeline"";""http://images.amazon.com/images/P/055356966X.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/055356966X.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/055356966X.01.LZZZZZZZ.jpg"""
"0553574663;""The Grilling Season"";""Diane Mott Davidson"";""1998"";""Bantam Books"";""http://images.amazon.com/images/P/0553574663.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0553574663.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0553574663.01.LZZZZZZZ.jpg"""
"0451180054;""Trial by Fire"";""Nancy Taylor Rosenberg"";""1996"";""Signet Book"";""http://images.amazon.com/images/P/0451180054.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0451180054.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0451180054.01.LZZZZZZZ.jpg"""
"0812590554;""White Smoke: A Novel About the Next Papal Conclave"";""Andrew M. Greeley"";""1997"";""Forge"";""http://images.amazon.com/images/P/0812590554.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0812590554.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0812590554.01.LZZZZZZZ.jpg"""
"055357924X;""Kissed a Sad Goodbye (Duncan Kincaid/Gemma James Novels (Paperback))"";""Deborah Crombie"";""2001"";""Bantam Books"";""http://images.amazon.com/images/P/055357924X.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/055357924X.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/055357924X.01.LZZZZZZZ.jpg"""
"0061093920;""Render Up the Body : A Novel of Suspense"";""Marianne Wesson"";""1998"";""HarperTorch"";""http://images.amazon.com/images/P/0061093920.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0061093920.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0061093920.01.LZZZZZZZ.jpg"""
"0671898779;""Rescue"";""Jeremiah Healy"";""1995"";""Pocket Books"";""http://images.amazon.com/images/P/0671898779.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0671898779.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0671898779.01.LZZZZZZZ.jpg"""
"0812571991;""Legacies : A Repairman Jack Novel (Repairman Jack)"";""F. Paul Wilson"";""2000"";""Forge Books"";""http://images.amazon.com/images/P/0812571991.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0812571991.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0812571991.01.LZZZZZZZ.jpg"""
"0451199650;""Stealing Time (April Woo Suspense Novels (Paperback))"";""Leslie Glass"";""2000"";""Signet Book"";""http://images.amazon.com/images/P/0451199650.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0451199650.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0451199650.01.LZZZZZZZ.jpg"""
"0451197429;""The Disappearance"";""J. F. Freedman"";""1999"";""Signet Book"";""http://images.amazon.com/images/P/0451197429.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0451197429.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0451197429.01.LZZZZZZZ.jpg"""
"0553102346;""Deception on His Mind"";""Elizabeth George"";""1997"";""Bantam"";""http://images.amazon.com/images/P/0553102346.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0553102346.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0553102346.01.LZZZZZZZ.jpg"""
"0399146504;""The Devil's Code"";""John Sandford"";""2000"";""G. P. Putnam's Sons"";""http://images.amazon.com/images/P/0399146504.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0399146504.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0399146504.01.LZZZZZZZ.jpg"""
"0312143648;""Malice Prepense"";""Kate Wilhelm"";""1996"";""St Martins Pr"";""http://images.amazon.com/images/P/0312143648.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0312143648.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0312143648.01.LZZZZZZZ.jpg"""
"0553099590;""Guilty As Sin"";""Tami Hoag"";""1996"";""Bantam"";""http://images.amazon.com/images/P/0553099590.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0553099590.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0553099590.01.LZZZZZZZ.jpg"""
"038530000X;""A Woman's Eye"";""Sara Paretsky"";""1991"";""Bantam Dell Pub Group"";""http://images.amazon.com/images/P/038530000X.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/038530000X.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/038530000X.01.LZZZZZZZ.jpg"""
"3499233312;""Wie die Tiere."";""Wolf Haas"";""2002"";""Rowohlt Tb."";""http://images.amazon.com/images/P/3499233312.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/3499233312.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/3499233312.01.LZZZZZZZ.jpg"""
"0140620508;""Ivanhoe (Penguin Popular Classics)"";""Walter Scott"";""1994"";""Penguin Books Ltd"";""http://images.amazon.com/images/P/0140620508.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0140620508.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0140620508.01.LZZZZZZZ.jpg"""
"1895565545;""The Group of Seven and Tom Thomson: An Introduction"";""Anne Newlands"";""1995"";""Firefly Books Ltd"";""http://images.amazon.com/images/P/1895565545.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/1895565545.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/1895565545.01.LZZZZZZZ.jpg"""
"0416469604;""Tao of Pooh (Magnet Special)"";""Benjamin Hoff"";""1987"";""Routledge"";""http://images.amazon.com/images/P/0416469604.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0416469604.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0416469604.01.LZZZZZZZ.jpg"""
"1841120685;""?What If!: How to Start a Creative Revolution at Work"";""Dave Allan"";""2001"";""Wiley John &amp; Sons"";""http://images.amazon.com/images/P/1841120685.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/1841120685.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/1841120685.01.LZZZZZZZ.jpg"""
"0044402449;""Immortal Blood"";""Barbara Hambly"";""1988"";""HarperCollins Publishers"";""http://images.amazon.com/images/P/0044402449.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0044402449.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0044402449.01.LZZZZZZZ.jpg"""
"0749425628;""How to Be Better at Managing Change (How to Be Better Series)"";""David Hussey"";""1998"";""Kogan Page"";""http://images.amazon.com/images/P/0749425628.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0749425628.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0749425628.01.LZZZZZZZ.jpg"""
"0273622218;""All Change: Project Manager's Secret Handbook (Financial Times Management)"";""Eddie Obeng"";""1996"";""Financial Times Prentice Hall"";""http://images.amazon.com/images/P/0273622218.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0273622218.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0273622218.01.LZZZZZZZ.jpg"""
"0751530328;""Thin Air"";""Storm Constantine"";""2002"";""Firebird Distributing"";""http://images.amazon.com/images/P/0751530328.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0751530328.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0751530328.01.LZZZZZZZ.jpg"""
"0140431020;""Lady Susan ; The Watsons ; Sanditon (Penguin English Library)"";""Jane Austen"";""1975"";""Penguin Books"";""http://images.amazon.com/images/P/0140431020.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0140431020.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0140431020.01.LZZZZZZZ.jpg"""
"0749418222;""Develop Your Assertiveness (Better Management Skills Series)"";""Sue Bishop"";""1996"";""Kogan Page"";""http://images.amazon.com/images/P/0749418222.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0749418222.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0749418222.01.LZZZZZZZ.jpg"""
"0241141095;""Hotel World"";""Ali Smith"";""2001"";""Hamish Hamilton"";""http://images.amazon.com/images/P/0241141095.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0241141095.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0241141095.01.LZZZZZZZ.jpg"""
"0450547434;""Creed"";""James Herbert"";""1996"";""Hodder &amp; Stoughton General Division"";""http://images.amazon.com/images/P/0450547434.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0450547434.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0450547434.01.LZZZZZZZ.jpg"""
"0340766638;""Sweet Dreams Are Made of This a Dark Fai"";""Margaret Burt"";""0"";""Trafalgar Square"";""http://images.amazon.com/images/P/0340766638.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0340766638.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0340766638.01.LZZZZZZZ.jpg"""
"0860680649;""Surfacing"";""Margaret Atwood"";""0"";""Trafalgar Square"";""http://images.amazon.com/images/P/0860680649.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0860680649.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0860680649.01.LZZZZZZZ.jpg"""
"0140040021;""The Hothouse by the East River"";""Muriel Spark"";""1977"";""Viking Press"";""http://images.amazon.com/images/P/0140040021.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0140040021.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0140040021.01.LZZZZZZZ.jpg"""
"2253098183;""V�?©rit�?©"";""Emile Zola"";""1996"";""LGF"";""http://images.amazon.com/images/P/2253098183.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/2253098183.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/2253098183.01.LZZZZZZZ.jpg"""
"0312997159;""A Summer in the Country"";""Marcia Willett"";""2004"";""St. Martin's Paperbacks"";""http://images.amazon.com/images/P/0312997159.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0312997159.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0312997159.01.LZZZZZZZ.jpg"""
"0786890061;""No Witnesses"";""Ridley Pearson"";""2001"";""Hyperion Press"";""http://images.amazon.com/images/P/0786890061.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0786890061.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0786890061.01.LZZZZZZZ.jpg"""
"0553279378;""I Know Why the Caged Bird Sings"";""MAYA ANGELOU"";""1983"";""Bantam"";""http://images.amazon.com/images/P/0553279378.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0553279378.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0553279378.01.LZZZZZZZ.jpg"""
"0440209986;""Not Exactly a Brahmin"";""Susan Dunlap"";""1991"";""Dell"";""http://images.amazon.com/images/P/0440209986.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0440209986.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0440209986.01.LZZZZZZZ.jpg"""
"0380788640;""Murder on the Yukon Quest: An Alaska Mystery"";""Sue Henry"";""2000"";""Avon"";""http://images.amazon.com/images/P/0380788640.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0380788640.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0380788640.01.LZZZZZZZ.jpg"""
"0380788632;""Death Takes Passage (Alaska Mysteries (Paperback))"";""Sue Henry"";""1998"";""Avon"";""http://images.amazon.com/images/P/0380788632.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0380788632.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0380788632.01.LZZZZZZZ.jpg"""
"0380717581;""Murder on the Iditarod Trail (Alaska Mysteries (Paperback))"";""Sue Henry"";""1993"";""Avon"";""http://images.amazon.com/images/P/0380717581.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0380717581.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0380717581.01.LZZZZZZZ.jpg"""
"0684826143;""The Funeral Makers"";""Cathie Pelletier"";""1997"";""Scribner"";""http://images.amazon.com/images/P/0684826143.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0684826143.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0684826143.01.LZZZZZZZ.jpg"""
