"ISBN;""Book-Title"";""Book-Author"";""Year-Of-Publication"";""Publisher"";""Image-URL-S"";""Image-URL-M"";""Image-URL-L"""
"0671020315;""Raven (Orphans)"";""V.C. Andrews"";""1998"";""Pocket"";""http://images.amazon.com/images/P/0671020315.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0671020315.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0671020315.01.LZZZZZZZ.jpg"""
"0316569321;""White Oleander : A Novel"";""Janet Fitch"";""1999"";""Little"," Brown"";""http://images.amazon.com/images/P/0316569321.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0316569321.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0316569321.01.LZZZZZZZ.jpg"""
"067169071X;""EVERYTHING SHE EVER WANTED"";""Ann Rule"";""1993"";""Pocket"";""http://images.amazon.com/images/P/067169071X.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/067169071X.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/067169071X.01.LZZZZZZZ.jpg"""
"0679732241;""The Sound and the Fury (Vintage International)"";""WILLIAM FAULKNER"";""1991"";""Vintage"";""http://images.amazon.com/images/P/0679732241.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0679732241.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0679732241.01.LZZZZZZZ.jpg"""
"0451117670;""Manitous Daughter Indian Heritage 1"";""Joseph Lederer"";""0"";""Penguin Putnam~mass"";""http://images.amazon.com/images/P/0451117670.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0451117670.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0451117670.01.LZZZZZZZ.jpg"""
"0451402251;""Born of the Sun"";""Joan Wolf"";""1991"";""New Amer Library"";""http://images.amazon.com/images/P/0451402251.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0451402251.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0451402251.01.LZZZZZZZ.jpg"""
"042513301X;""A Cold Day for Murder"";""Dana Stabenow"";""1992"";""Berkley Publishing Group"";""http://images.amazon.com/images/P/042513301X.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/042513301X.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/042513301X.01.LZZZZZZZ.jpg"""
"1558175326;""The White Puma"";""R.D. Lawrence"";""1991"";""Pinnacle Books"";""http://images.amazon.com/images/P/1558175326.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/1558175326.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/1558175326.01.LZZZZZZZ.jpg"""
"0449214982;""Trust Me"";""John Updike"";""1990"";""Fawcett Books"";""http://images.amazon.com/images/P/0449214982.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0449214982.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0449214982.01.LZZZZZZZ.jpg"""
"0515090174;""The Cat Who Could Read Backwards"";""Lilian Jackson Braun"";""1994"";""Jove Books"";""http://images.amazon.com/images/P/0515090174.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0515090174.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0515090174.01.LZZZZZZZ.jpg"""
"0515095826;""The Cat Who Knew Shakespeare"";""Lilian Jackson Braun"";""1988"";""Jove Books"";""http://images.amazon.com/images/P/0515095826.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0515095826.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0515095826.01.LZZZZZZZ.jpg"""
