"ISBN;""Book-Title"";""Book-Author"";""Year-Of-Publication"";""Publisher"";""Image-URL-S"";""Image-URL-M"";""Image-URL-L"""
"0061098019;""H.M.S. Unseen"";""Patrick Robinson"";""2000"";""HarperTorch"";""http://images.amazon.com/images/P/0061098019.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0061098019.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0061098019.01.LZZZZZZZ.jpg"""
"0425177696;""The Passenger"";""Patrick A. Davis"";""2000"";""Berkley Publishing Group"";""http://images.amazon.com/images/P/0425177696.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0425177696.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0425177696.01.LZZZZZZZ.jpg"""
"0812517725;""The Great Hunt (The Wheel of Time"," Book 2)"";""Robert Jordan"";""1991"";""Tor Fantasy"";""http://images.amazon.com/images/P/0812517725.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0812517725.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0812517725.01.LZZZZZZZ.jpg"""
"0380818191;""Truth"," The"";""Terry Pratchett"";""2001"";""HarperTorch"";""http://images.amazon.com/images/P/0380818191.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0380818191.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0380818191.01.LZZZZZZZ.jpg"""
"9721013412;""Os Maias"";""Eca de Queiros"";""0"";""Publicacoes Europa-America"";""http://images.amazon.com/images/P/9721013412.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/9721013412.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/9721013412.01.LZZZZZZZ.jpg"""
"074346771X;""S.W.A.T."";""Diane Carey"";""2003"";""Pocket Star"";""http://images.amazon.com/images/P/074346771X.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/074346771X.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/074346771X.01.LZZZZZZZ.jpg"""
"0399134883;""Life on the Road"";""Charles Kuralt"";""1990"";""Putnam Pub Group"";""http://images.amazon.com/images/P/0399134883.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0399134883.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0399134883.01.LZZZZZZZ.jpg"""
"0316037443;""The Best Cat Ever"";""Cleveland Amory"";""1993"";""Little Brown &amp; Co"";""http://images.amazon.com/images/P/0316037443.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0316037443.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0316037443.01.LZZZZZZZ.jpg"""
"1878067745;""Solo: On Her Own Adventure"";""Susan Fox Rogers"";""1996"";""Seal Press (WA)"";""http://images.amazon.com/images/P/1878067745.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/1878067745.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/1878067745.01.LZZZZZZZ.jpg"""
"0399138749;""Mr. Murder"";""Dean R. Koontz"";""1993"";""Putnam Pub Group"";""http://images.amazon.com/images/P/0399138749.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0399138749.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0399138749.01.LZZZZZZZ.jpg"""
"0571069134;""Dark Labyrinth"";""Lawrence Durrell"";""0"";""Faber Faber Inc"";""http://images.amazon.com/images/P/0571069134.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0571069134.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0571069134.01.LZZZZZZZ.jpg"""
"0811816583;""New York Dogs"";""Andrea Mohin"";""1997"";""Chronicle Books Llc"";""http://images.amazon.com/images/P/0811816583.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0811816583.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0811816583.01.LZZZZZZZ.jpg"""
"1588512681;""Demonlands"";""Anthony M. Fauglid"";""2001"";""Publishamerica"";""http://images.amazon.com/images/P/1588512681.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/1588512681.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/1588512681.01.LZZZZZZZ.jpg"""
"1573228745;""Innocence"";""Jane Mendelsohn"";""2001"";""Riverhead Books"";""http://images.amazon.com/images/P/1573228745.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/1573228745.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/1573228745.01.LZZZZZZZ.jpg"""
"0446528757;""Joy"";""Victoria Christopher Murray"";""2001"";""Walk Worthy Press"";""http://images.amazon.com/images/P/0446528757.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0446528757.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0446528757.01.LZZZZZZZ.jpg"""
"0451191145;""Atlas Shrugged"";""Ayn Rand"";""1996"";""Signet Book"";""http://images.amazon.com/images/P/0451191145.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0451191145.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0451191145.01.LZZZZZZZ.jpg"""
"0136714897;""Quotations from Women on Life"";""Rosalie Maggio"";""1997"";""Prentice Hall Art"";""http://images.amazon.com/images/P/0136714897.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0136714897.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0136714897.01.LZZZZZZZ.jpg"""
"0689823517;""The Dance"";""Richard Paul Evans"";""1999"";""Simon &amp; Schuster Children's Publishing"";""http://images.amazon.com/images/P/0689823517.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0689823517.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0689823517.01.LZZZZZZZ.jpg"""
"0875093663;""Pursuit of God"";""Aiden W. Tozer"";""1982"";""Christian Publications"";""http://images.amazon.com/images/P/0875093663.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0875093663.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0875093663.01.LZZZZZZZ.jpg"""
"0671510126;""The Good Earth (Enriched Classics)"";""Pearl S. Buck"";""1994"";""Pocket"";""http://images.amazon.com/images/P/0671510126.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0671510126.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0671510126.01.LZZZZZZZ.jpg"""
"0440403278;""Number the Stars (Yearling Newbery)"";""Lois Lowry"";""1990"";""Yearling Books"";""http://images.amazon.com/images/P/0440403278.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0440403278.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0440403278.01.LZZZZZZZ.jpg"""
