User_ID,ISBN,Book_Rating
100435,0679310002,8
100435,006052779X,4
100435,2070334368,9
100435,084994371X,4
100435,0895872102,7
100435,0061050474,3
100435,0486206173,4
100435,0061042943,5
100435,0451162072,4
100435,3498020862,3
100435,0312143370,5
100435,0446364193,7
100435,0439095026,6
100435,3492207006,3
100435,0446300101,7
100435,0312906552,7
100435,0553202294,3
100435,0684864320,7
100435,0553802488,1
100435,0743470389,3
100435,0679423079,10
100435,8445071777,3
100435,0380002450,5
100435,2253007102,10
100435,0590629719,3
100435,0446602086,2
100435,0062770500,6
100435,0891091963,3
100435,0140345809,8
100435,0380792664,7
100435,0425178242,5
100435,0743201078,2
100435,0590481371,5
100435,0345425294,3
100435,0786868716,3
100435,3502670005,5
100435,0842329129,1
100435,0684824442,2
100435,0375726403,10
100435,0440130913,2
100435,3442724686,4
100435,0060973129,10
100435,0374386676,8
100435,0684180200,2
100435,0061052523,4
100435,0805056491,7
100435,1573229148,1
100435,074322678X,4
100435,0245542957,1
100435,0345313860,5
100435,1842040154,4
100435,0679450440,9
100435,0671867156,1
100435,0316666343,2
100435,0425181111,2
100435,8466601090,5
100435,0804106304,8
100435,0571197639,5
100435,0819154946,8
100435,8427007450,4
100435,0060013117,7
100435,0020437501,2
100435,0553062042,3
100435,0380730138,4
100435,0449207757,5
100435,038549825X,3
100435,039914739X,3
100435,2266084372,6
100435,0440218535,5
100435,0316314927,5
100435,0060929790,6
100435,0451188209,6
100435,0679603352,2
100435,0821750410,7
100435,0345428900,6
100435,0880011025,3
100435,1401201172,5
100435,0749748001,1
100435,0449912302,8
100435,0385730586,7
100435,0060976845,7
100435,1563899388,2
100435,081296666X,7
100435,0394895894,3
100435,0743424425,6
100435,0786863986,8
100435,0393048977,3
100435,3442353866,7
100435,0062770500,6
100435,0452277337,4
100435,0440224675,5
100435,0380732688,6
100435,1562477528,10
100435,0767908473,3
100435,0439319552,2
100435,0142001740,6
100393,0679310002,10
100393,006052779X,5
100393,2070334368,9
100393,084994371X,4
100393,0895872102,4
100393,0061050474,3
100393,0486206173,5
100393,0061042943,2
100393,0451162072,1
100393,3498020862,7
100393,0312143370,5
100393,0446364193,6
100393,0439095026,7
100393,3492207006,2
100393,0446300101,5
100393,0312906552,6
100393,0553202294,2
100393,0684864320,10
100393,0553802488,7
100393,0743470389,4
100393,0679423079,7
100393,8445071777,5
100393,0380002450,3
100393,2253007102,7
100393,0590629719,1
100393,0446602086,1
100393,0062770500,3
100393,0891091963,6
100393,0140345809,10
100393,0380792664,4
100393,0425178242,1
100393,0743201078,4
100393,0590481371,1
100393,0345425294,7
100393,0786868716,3
100393,3502670005,4
100393,0842329129,3
100393,0684824442,3
100393,0375726403,8
100393,0440130913,1
100393,3442724686,3
100393,0060973129,9
100393,0374386676,7
100393,0684180200,6
100393,0061052523,3
100393,0805056491,8
100393,1573229148,1
100393,074322678X,4
100393,0245542957,4
100393,0345313860,3
100393,1842040154,7
100393,0679450440,9
100393,0671867156,6
100393,0316666343,3
100393,0425181111,2
100393,8466601090,7
100393,0804106304,9
100393,0571197639,6
100393,0819154946,7
100393,8427007450,5
100393,3257207522,5
100393,0345371984,7
100393,0312288115,5
100393,0440224829,5
100393,0140253580,8
100393,8478091246,5
100393,8472224260,7
100393,0312906552,2
100393,0440130913,4
100393,0449002632,7
100393,8484509141,3
100393,0060930187,7
100393,061312975X,2
100393,0060930365,4
100794,0679310002,7
100794,006052779X,7
100794,2070334368,10
100794,084994371X,5
100794,0895872102,6
100794,0061050474,3
100794,0486206173,4
100794,0061042943,1
100794,0451162072,7
100794,3498020862,6
100794,0312143370,3
100794,0446364193,5
100794,0439095026,2
100794,3492207006,1
100794,0446300101,5
100794,0312906552,6
100794,0553202294,7
100794,0684864320,9
100794,0553802488,2
100794,0743470389,2
100794,0679423079,10
100794,8445071777,7
100794,0380002450,2
100794,2253007102,9
100794,0590629719,7
100794,0446602086,7
100794,0062770500,7
100794,0891091963,5
100794,0140345809,9
100794,0380792664,7
100794,0425178242,6
100794,0743201078,3
100794,0590481371,3
100794,0345425294,1
100794,0786868716,2
100794,3502670005,2
100794,0842329129,6
100794,0684824442,5
100794,0375726403,7
100794,0440130913,7
100794,3442724686,6
100794,0060973129,9
100794,0374386676,8
100794,0684180200,6
100794,0061052523,2
100794,0805056491,10
100794,1573229148,2
100794,074322678X,4
100794,0245542957,5
100794,0345313860,5
100794,1842040154,3
100794,0679450440,10
100794,0671867156,1
100794,0316666343,7
100794,0425181111,5
100794,8466601090,1
100794,0804106304,10
100794,0571197639,2
100794,0819154946,8
100794,8427007450,1
100794,0345465083,1
100794,0373245580,1
100794,0684193957,5
100794,0553583468,2
100794,0679865691,2
100794,0679725393,2
100794,193156146X,1
100794,0312288115,6
100794,0312963009,4
100794,0399147128,4
100794,0375814248,5
100794,0440223571,6
100794,0884111342,7
100794,2253148539,7
100794,0440226694,8
100794,0801491827,7
100794,014023828X,10
100794,0394895894,3
100794,0071416331,2
100794,0819215635,3
100794,0380754509,1
100794,0440130913,3
100794,0345374657,1
100794,0312995423,7
100794,0345391691,4
100794,0743249992,10
100924,0679310002,9
100924,006052779X,3
100924,2070334368,9
100924,084994371X,7
100924,0895872102,7
100924,0061050474,3
100924,0486206173,3
100924,0061042943,1
100924,0451162072,2
100924,3498020862,3
100924,0312143370,2
100924,0446364193,4
100924,0439095026,2
100924,3492207006,7
100924,0446300101,5
100924,0312906552,7
100924,0553202294,4
100924,0684864320,8
100924,0553802488,4
100924,0743470389,5
100924,0679423079,10
100924,8445071777,2
100924,0380002450,7
100924,2253007102,9
100924,0590629719,2
100924,0446602086,7
100924,0062770500,7
100924,0891091963,5
100924,0140345809,9
100924,0380792664,5
100924,0425178242,4
100924,0743201078,1
100924,0590481371,3
100924,0345425294,5
100924,0786868716,3
100924,3502670005,7
100924,0842329129,4
100924,0684824442,4
100924,0375726403,9
100924,0440130913,5
100924,3442724686,5
100924,0060973129,7
100924,0374386676,10
100924,0684180200,7
100924,0061052523,5
100924,0805056491,8
100924,1573229148,4
100924,074322678X,1
100924,0245542957,4
100924,0345313860,7
100924,1842040154,2
100924,0679450440,8
100924,0671867156,2
100924,0316666343,3
100924,0425181111,3
100924,8466601090,4
100924,0804106304,7
100924,0571197639,5
100924,0819154946,7
100924,8427007450,3
100924,0060930365,4
100924,0385490992,10
100924,0380730448,5
100924,0380759497,5
100924,0380717018,2
100924,0842329129,2
100924,0446310786,6
100924,3257214154,10
100924,067103619X,4
100924,0887841740,4
100924,0449911004,7
100924,1886383421,5
100924,0312995423,5
100924,0439221714,4
100924,0316735736,6
100924,0156528207,6
100924,0308102282,5
100924,0140252800,4
100924,0966986105,2
100924,0819154946,7
100924,0375751513,5
100924,067176537X,5
100924,887641486X,6
100924,0345356578,3
100924,1559703237,8
100924,051513290X,1
100924,0061099325,6
100924,0385420161,9
100924,0373250339,2
100924,0061076031,2
100845,0679310002,8
100845,006052779X,2
100845,2070334368,10
100845,084994371X,2
100845,0895872102,4
100845,0061050474,1
100845,0486206173,6
100845,0061042943,7
100845,0451162072,7
100845,3498020862,2
